         107766256 function calls (106241653 primitive calls) in 3086.154 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2315441    6.318    0.000   16.475    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\_methods.py:143(_mean)
        1    6.109    6.109 3086.155 3086.155 f:/PythonProjects/NietoExcercise-1/svm_test_loopGoodBefore.py:592(main)
   255488    6.080    0.000   43.794    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\spectral.py:1576(_spectral_helper)
      290    6.028    0.021   19.810    0.068 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\nanfunctions.py:68(_replace_nan)
      145    4.997    0.034   61.670    0.425 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\utils\extmath.py:792(_incremental_mean_and_var)
      324    4.899    0.015    4.900    0.015 f:\PythonProjects\NietoExcercise-1\Inner_Speech_Dataset\Python_Processing\Data_processing.py:66(Filter_by_condition)
       90    4.341    0.048   22.653    0.252 f:\PythonProjects\NietoExcercise-1\feature_extraction.py:65(createMaskedFeatureList)
        8    3.684    0.460 2979.658  372.457 f:/PythonProjects/NietoExcercise-1/svm_test_loopGoodBefore.py:1081(onlyCreateFeaturesFunction)
    20213    3.673    0.000    3.723    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\threading.py:242(__exit__)
   255488    3.668    0.000   13.574    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\windows\windows.py:39(general_cosine)
      459    3.508    0.008  132.860    0.289 <decorator-gen-229>:1(__init__)
   255488    3.352    0.000    8.829    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\function_base.py:23(linspace)
      145    3.239    0.022   47.559    0.328 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\feature_selection\_univariate_selection.py:123(f_classif)
      725    3.204    0.004   20.089    0.028 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\feature_selection\_univariate_selection.py:98(<genexpr>)
  2315441    2.979    0.000    3.663    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\_methods.py:59(_count_reduce_items)
   510976    2.760    0.000    2.760    0.000 {built-in method scipy.fft._pocketfft.pypocketfft.r2c}
       27    2.643    0.098    2.643    0.098 {built-in method scipy.ndimage._nd_image.correlate1d}
  2299473    2.257    0.000   18.402    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:3269(mean)
     1260    1.986    0.002    2.044    0.002 f:\PythonProjects\NietoExcercise-1\feature_extraction.py:88(onlySignData)
       81    1.959    0.024    9.851    0.122 f:\PythonProjects\NietoExcercise-1\Inner_Speech_Dataset\Python_Processing\Data_processing.py:93(Transform_for_classificator)
13514881/13514150    1.723    0.000    1.744    0.000 {built-in method builtins.isinstance}
   255488    1.720    0.000   16.801    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\spectral.py:1870(_fft_helper)
   770813    1.554    0.000    1.554    0.000 {built-in method numpy.arange}
   255488    1.534    0.000    2.910    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\stride_tricks.py:37(as_strided)
     3213    1.494    0.000    4.780    0.001 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\meas_info.py:720(_check_consistency)
       72    1.231    0.017    9.431    0.131 f:\PythonProjects\NietoExcercise-1\baselineBefore.py:157(baselineCorrect)
  3823848    1.185    0.000    1.798    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\utils\check.py:339(_is_numeric)
     1260    1.117    0.001    1.202    0.001 f:\PythonProjects\NietoExcercise-1\feature_extraction.py:173(normalizeData)
  2299473    1.104    0.000   20.529    0.000 <__array_function__ internals>:2(mean)
       18    1.068    0.059    1.068    0.059 {built-in method scipy.fft._pocketfft.pypocketfft.c2c}
   255488    1.051    0.000    6.964    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\signaltools.py:3251(detrend)
      324    1.037    0.003    1.037    0.003 f:\PythonProjects\NietoExcercise-1\Inner_Speech_Dataset\Python_Processing\Data_processing.py:191(Filter_by_class)
     5360    0.969    0.000    0.969    0.000 {built-in method builtins.print}
      459    0.967    0.002    0.967    0.002 C:\Users\Luna\anaconda3\envs\mentalab3\lib\json\decoder.py:345(raw_decode)
   510976    0.947    0.000    7.620    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_pocketfft\basic.py:40(r2c)
   255488    0.900    0.000   14.840    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\windows\windows.py:2020(get_window)
   255488    0.830    0.000    2.109    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\shape_base.py:512(expand_dims)
      145    0.821    0.006   30.073    0.207 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\feature_selection\_univariate_selection.py:43(f_oneway)
   255488    0.733    0.000    1.212    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\fft\helper.py:173(rfftfreq)
   510994    0.725    0.000    1.336    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_pocketfft\helper.py:80(_asfarray)
        9    0.724    0.080    4.307    0.479 f:\PythonProjects\NietoExcercise-1\util.py:149(fftData)
  3052309    0.721    0.000    0.721    0.000 {built-in method builtins.hasattr}
        9    0.708    0.079   46.239    5.138 f:\PythonProjects\NietoExcercise-1\util.py:168(welchData)
   255488    0.699    0.000   45.332    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\spectral.py:457(csd)
      171    0.659    0.004    3.909    0.023 f:\PythonProjects\NietoExcercise-1\feature_extraction.py:1050(getGlobalGoodFeaturesMask)
       72    0.657    0.009   10.739    0.149 f:\PythonProjects\NietoExcercise-1\baselineBefore.py:68(getBaselineFeatures)
     3592    0.647    0.000    0.647    0.000 {built-in method nt.lstat}
   255488    0.640    0.000    0.987    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\numeric.py:1218(rollaxis)
5438200/5438131    0.640    0.000    0.649    0.000 {built-in method builtins.issubclass}
   255497    0.626    0.000    0.626    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_pocketfft\helper.py:112(_fix_shape)
  3123934    0.619    0.000    1.865    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\_asarray.py:86(asanyarray)
    60696    0.611    0.000    1.567    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\tag.py:339(_read_ch_info_struct)
    15968    0.585    0.000    3.407    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\function_base.py:2270(cov)
  2826930    0.558    0.000    0.558    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   770704    0.541    0.000    0.541    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  1653771    0.533    0.000    0.533    0.000 {built-in method builtins.getattr}
   262790    0.519    0.000   46.076    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
    17622    0.500    0.000    0.537    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\threading.py:254(_is_owned)
   624402    0.495    0.000    0.495    0.000 {built-in method numpy.frombuffer}
   255488    0.491    0.000    0.709    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\numeric.py:1308(normalize_axis_tuple)
3055103/3054559    0.491    0.000    0.494    0.000 {built-in method builtins.len}
   255488    0.484    0.000    0.484    0.000 {built-in method builtins.abs}
    14334    0.476    0.000    0.476    0.000 {built-in method _thread.allocate_lock}
   510994    0.443    0.000    9.227    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_backend.py:17(__ua_function__)
      522    0.439    0.001   92.053    0.176 f:\PythonProjects\NietoExcercise-1\feature_extraction.py:508(createFeature)
  4534165    0.433    0.000    0.433    0.000 {method 'get' of 'dict' objects}
   782432    0.420    0.000    1.704    0.000 <__array_function__ internals>:2(result_type)
   103239    0.418    0.000    1.088    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\utils\_logging.py:162(set_log_level)
     1260    0.413    0.000    0.631    0.001 f:\PythonProjects\NietoExcercise-1\feature_extraction.py:449(shuffleSplitData)
   424872    0.409    0.000    0.812    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\meas_info.py:184(_check_ch_keys)
   258126    0.399    0.000    0.399    0.000 {built-in method numpy.zeros}
   766500    0.385    0.000    0.488    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\type_check.py:279(iscomplexobj)
   766500    0.326    0.000    1.119    0.000 <__array_function__ internals>:2(iscomplexobj)
        9    0.300    0.033    1.369    0.152 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\signaltools.py:2036(hilbert)
       90    0.299    0.003    2.647    0.029 f:\PythonProjects\NietoExcercise-1\feature_extraction.py:210(createListOfDataMixes)
   255488    0.295    0.000    1.062    0.000 {method 'any' of 'numpy.generic' objects}
   851855    0.264    0.000    0.264    0.000 {built-in method builtins.sorted}
     1377    0.261    0.000    0.602    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\pick.py:756(channel_indices_by_type)
   510976    0.248    0.000    1.308    0.000 <__array_function__ internals>:2(isrealobj)
  2299473    0.225    0.000    0.225    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:3265(_mean_dispatcher)
      145    0.222    0.002    0.258    0.002 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\dask\local.py:249(finish_task)
   255488    0.202    0.000   15.075    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\spectral.py:1920(_triage_segments)
   255488    0.199    0.000   13.774    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\windows\windows.py:933(general_hamming)
   255488    0.199    0.000   45.531    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\spectral.py:291(welch)
   792844    0.193    0.000    1.440    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\_asarray.py:14(asarray)
   255633    0.188    0.000    1.924    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:2249(any)
   112331    0.187    0.000   20.611    0.000 {built-in method builtins.sum}
   510976    0.185    0.000    0.851    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\type_check.py:320(isrealobj)
 2754/459    0.183    0.000    0.248    0.001 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\tree.py:46(make_dir_tree)
   148014    0.182    0.000    0.182    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\tag.py:37(__init__)
120108/6738    0.182    0.000   30.459    0.005 C:\Users\Luna\anaconda3\envs\mentalab3\lib\copy.py:132(deepcopy)
    40499    0.182    0.000    0.182    0.000 {built-in method time.monotonic}
        8    0.167    0.021 2464.290  308.036 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\dask\local.py:348(get_async)
   811276    0.165    0.000    0.221    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\epochs.py:575(<genexpr>)
   255488    0.162    0.000    1.305    0.000 <__array_function__ internals>:2(rollaxis)
   849744    0.161    0.000    0.161    0.000 {method 'difference' of 'set' objects}
   510994    0.157    0.000    0.157    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
   256974    0.153    0.000    0.551    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:199(reshape)
   318760    0.152    0.000    0.526    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:52(_wrapfunc)
   902428    0.150    0.000    0.191    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\epochs.py:570(<genexpr>)
   255488    0.149    0.000    7.113    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\spectral.py:1784(detrend_func)
   256974    0.148    0.000    0.824    0.000 <__array_function__ internals>:2(reshape)
   255488    0.145    0.000    0.145    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\windows\windows.py:31(_truncate)
   255633    0.141    0.000    2.352    0.000 <__array_function__ internals>:2(any)
   255488    0.140    0.000    9.190    0.000 <__array_function__ internals>:2(linspace)
   255488    0.136    0.000    2.439    0.000 <__array_function__ internals>:2(expand_dims)
   255947    0.135    0.000    0.135    0.000 {method 'transpose' of 'numpy.ndarray' objects}
   255488    0.134    0.000    0.134    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\stride_tricks.py:19(__init__)
   257324    0.133    0.000    0.456    0.000 <__array_function__ internals>:2(ndim)
   902428    0.132    0.000    0.194    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\epochs.py:574(<genexpr>)
   148014    0.132    0.000    0.375    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\tag.py:149(_read_tag_header)
   510994    0.131    0.000    0.448    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_pocketfft\helper.py:160(_workers)
   255497    0.131    0.000    0.757    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_pocketfft\helper.py:139(_fix_shape_1d)
   256666    0.129    0.000    6.290    0.000 {method 'sum' of 'numpy.ndarray' objects}
   255488    0.127    0.000    0.163    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\shape_base.py:600(<listcomp>)
     1377    0.126    0.000    0.520    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\meas_info.py:685(__deepcopy__)
  1277476    0.124    0.000    0.124    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\type_check.py:206(_is_type_dispatcher)
   255488    0.115    0.000    0.115    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\windows\windows.py:16(_len_guards)
    39000    0.111    0.000    0.254    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\tokenize.py:492(_tokenize)
     2295    0.109    0.000    0.261    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\pick.py:206(pick_channels)
   521865    0.108    0.000    0.144    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\utils\check.py:409(<genexpr>)
   262790    0.107    0.000    0.107    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:71(<dictcomp>)
   255488    0.104    0.000    0.168    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\numeric.py:1358(<listcomp>)
    73089    0.104    0.000    9.047    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\tag.py:434(read_tag)
  1116894    0.100    0.000    0.100    0.000 {method 'append' of 'list' objects}
    15968    0.099    0.000    0.150    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\stride_tricks.py:114(_broadcast_to)
      918    0.096    0.000    6.437    0.007 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\epochs.py:371(__init__)
       21    0.096    0.005    0.096    0.005 {built-in method _winapi.CreateProcess}
   106074    0.095    0.000    0.352    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\utils\check.py:383(_validate_type)
      459    0.094    0.000    2.817    0.006 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\meas_info.py:985(read_meas_info)
     9065    0.094    0.000    0.185    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\arraysetops.py:309(_unique1d)
       90    0.094    0.001    2.970    0.033 f:/PythonProjects/NietoExcercise-1/svm_test_loopGoodBefore.py:73(mixShuffleSplit)
27540/10098    0.094    0.000    0.099    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\tree.py:15(dir_tree_find)
   271456    0.094    0.000    0.094    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\stride_tricks.py:24(_maybe_view_as_subclass)
     2762    0.094    0.000    0.510    0.000 {built-in method builtins.all}
      918    0.092    0.000    1.192    0.001 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\epochs.py:1315(_get_data)
   255488    0.092    0.000   13.865    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\windows\windows.py:708(hann)
    13429    0.090    0.000    0.090    0.000 {method 'remove' of 'collections.deque' objects}
    60696    0.090    0.000    0.128    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\tag.py:363(_update_ch_info_named)
   451214    0.088    0.000    0.088    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\epochs.py:2967(<genexpr>)
      459    0.086    0.000  129.332    0.282 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\epochs.py:3100(__init__)
     1377    0.086    0.000    0.699    0.001 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\epochs.py:710(_reject_setup)
   183382    0.082    0.000    0.082    0.000 {method 'copy' of 'dict' objects}
   255633    0.080    0.000    0.116    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\numeric.py:1816(isscalar)
   259149    0.080    0.000    0.080    0.000 {method 'insert' of 'list' objects}
   216953    0.080    0.000    0.118    0.000 <frozen importlib._bootstrap>:416(parent)
   257889    0.076    0.000    0.076    0.000 {method 'remove' of 'list' objects}
   782432    0.076    0.000    0.076    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\multiarray.py:634(result_type)
   256666    0.075    0.000    6.161    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\_methods.py:45(_sum)
      459    0.074    0.000   75.434    0.164 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\open.py:132(_fiff_open)
      145    0.074    0.001    0.207    0.001 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\dask\local.py:444(fire_task)
   182088    0.074    0.000    0.074    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\pick.py:172(channel_type)
     1689    0.072    0.000    0.072    0.000 {built-in method builtins.compile}
    45576    0.071    0.000    1.069    0.000 <decorator-gen-215>:1(_is_good_epoch)
   260537    0.070    0.000    0.786    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\_methods.py:53(_any)
      733    0.065    0.000    0.065    0.000 {built-in method nt.stat}
   510994    0.064    0.000    0.064    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_pocketfft\helper.py:147(_normalization)
    17693    0.064    0.000    0.064    0.000 {method '__enter__' of '_thread.lock' objects}
      153    0.063    0.000  140.419    0.918 f:\PythonProjects\NietoExcercise-1\Inner_Speech_Dataset\Python_Processing\Data_extractions.py:26(Extract_data_from_subject)
    60696    0.060    0.000    0.060    0.000 {method 'argmax' of 'numpy.ndarray' objects}
    35757    0.059    0.000    0.059    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
   257324    0.059    0.000    0.059    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:3075(ndim)
      302    0.057    0.000    0.059    0.000 {built-in method numpy.fromfile}
     2148    0.055    0.000    0.055    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\contextlib.py:283(_exit_wrapper)
   255488    0.053    0.000    0.053    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\windows\windows.py:23(_extend)
    17693    0.050    0.000    0.050    0.000 {method '__exit__' of '_thread.lock' objects}
    15968    0.050    0.000    0.604    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\function_base.py:280(average)
    43566    0.050    0.000    0.065    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\copy.py:252(_keep_alive)
   272890    0.048    0.000    0.048    0.000 {method 'items' of 'dict' objects}
     2148    0.048    0.000   37.085    0.017 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\npyio.py:283(load)
     1950    0.048    0.000    0.076    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\tokenize.py:243(untokenize)
   220383    0.047    0.000    0.204    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
     1950    0.045    0.000    0.394    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\format.py:523(_filter_header)
      145    0.043    0.000    0.068    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\multiprocessing\pool.py:619(__init__)
     2295    0.042    0.000    0.407    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\pick.py:1004(_picks_to_idx)
      261    0.042    0.000   13.772    0.053 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\npyio.py:457(save)
   428085    0.041    0.000    0.041    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\meas_info.py:737(<genexpr>)
    13552    0.041    0.000    0.044    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\threading.py:248(_release_save)
   273981    0.040    0.000    0.040    0.000 {built-in method builtins.iter}
    32985    0.040    0.000   47.768    0.001 <__array_function__ internals>:2(copy)
    45576    0.039    0.000    0.056    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\epochs.py:782(_is_good_epoch)
      813    0.039    0.000    0.039    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\dask\core.py:159(keys_in_tasks)
   217235    0.038    0.000    0.038    0.000 {method 'rpartition' of 'str' objects}
   255902    0.036    0.000    0.047    0.000 {built-in method builtins.next}
     2295    0.036    0.000    0.321    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\pick.py:1075(_picks_str_to_idx)
     5103    0.036    0.000    0.036    0.000 {method 'argsort' of 'numpy.ndarray' objects}
    74925    0.036    0.000    0.231    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\tag.py:63(read_tag_info)
    19859    0.035    0.000    0.083    0.000 {built-in method builtins.any}
      180    0.035    0.000    0.035    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     3213    0.034    0.000    0.034    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\meas_info.py:735(<listcomp>)
   255488    0.034    0.000    0.034    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\numeric.py:1214(_rollaxis_dispatcher)
   255488    0.033    0.000    0.033    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\shape_base.py:508(_expand_dims_dispatcher)
   255633    0.033    0.000    0.033    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:2245(_any_dispatcher)
      918    0.032    0.000    0.032    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\pick.py:554(<listcomp>)
   150349    0.032    0.000    0.032    0.000 {method 'seek' of '_io.BytesIO' objects}
    60696    0.032    0.000    0.189    0.000 <__array_function__ internals>:2(argmax)
   257324    0.032    0.000    0.032    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:3071(_ndim_dispatcher)
